;Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,7.2568266,0
353,7.1742886,0
354,7.1004045,0
355,7.1021163,0
356,7.0641442,0
357,7.0037593,0
358,6.9865576,0
359,7.0127185,0
360,7.0739993,0
361,7.1827639,0
362,7.3411625,0
363,7.546328,0
364,7.737338,0
365,7.9441161,0
366,8.2059037,0
367,8.5348853,0
368,8.8224754,0
369,9.0925055,0
370,9.3342245,0
371,9.5986998,0
372,9.8701634,0
373,10.0973685,0
374,10.3175855,0
375,10.5521371,0
376,10.7646492,0
377,11.0219572,0
378,11.290733,0
379,11.5722308,0
380,11.8460237,0
381,12.194178,0
382,12.663998,0
383,13.1323846,0
384,13.6183312,0
385,14.1279301,0
386,14.6176396,0
387,15.1202503,0
388,15.6291324,0
389,16.1148999,0
390,16.5488831,0
391,17.0319628,0
392,17.4981992,0
393,17.9377372,0
394,18.3333751,0
395,18.7136033,0
396,19.1323559,0
397,19.5751192,0
398,19.9962013,0
399,20.5378741,0
400,21.0980028,0
401,21.6937891,0
402,22.3327587,0
403,23.0403558,0
404,23.7624667,0
405,24.5329573,0
406,25.3665206,0
407,26.2163896,0
408,27.1218056,0
409,28.0598331,0
410,29.1062668,0
411,30.2172067,0
412,31.3114825,0
413,32.3677713,0
414,33.4738732,0
415,34.689994,0
416,35.9016352,0
417,37.1211605,0
418,38.4526757,0
419,39.7173554,0
420,41.0304147,0
421,42.2642747,0
422,43.5708833,0
423,44.7762531,0
424,45.9644213,0
425,47.1966686,0
426,48.4301703,0
427,49.6864283,0
428,50.8642037,0
429,52.0740531,0
430,53.3075547,0
431,54.427633,0
432,55.5851607,0
433,56.8371183,0
434,58.1270628,0
435,59.3827833,0
436,60.6300821,0
437,62.0327333,0
438,63.3422089,0
439,64.7142197,0
440,65.9692234,0
441,67.3851342,0
442,68.7293714,0
443,70.154779,0
444,71.4873693,0
445,72.8708479,0
446,74.1991378,0
447,75.561831,0
448,76.8598388,0
449,78.1277437,0
450,79.2899302,0
451,80.4963751,0
452,81.6587408,0
453,82.948327,0
454,84.0949244,0
455,85.2531689,0
456,86.3293471,0
457,87.5673283,0
458,88.5290081,0
459,89.2475353,0
460,90.1151435,0
461,90.8892178,0
462,91.6815688,0
463,92.1682321,0
464,92.7878499,0
465,93.5133653,0
466,94.0043291,0
467,94.5689374,0
468,95.0676061,0
469,95.3974835,0
470,95.6951079,0
471,96.3392739,0
472,97.0024333,0
473,97.4844379,0
474,97.9137624,0
475,98.2608415,0
476,98.7251069,0
477,99.087775,0
478,99.2649878,0
479,99.5326885,0
480,99.7708238,0
481,99.8613117,0
482,100,0
483,99.9595044,0
484,99.7923259,0
485,99.5663751,0
486,99.0893876,0
487,98.7068301,0
488,98.3565257,0
489,97.915375,0
490,97.2436148,0
491,96.4297617,0
492,95.6408152,0
493,94.7162265,0
494,93.8333877,0
495,92.8453679,0
496,91.7838828,0
497,90.4892794,0
498,89.271546,0
