;Wavelength,Exciation,Emission
300,0,13.2
301,0,11.8
302,0,10.6
303,0,10.4
304,0,13
305,0,16.3
306,0,16.1
307,0,11
308,0,6.7
309,0,5.7
310,0,5.5
311,0,5.4
312,0,5.4
313,0,5.5
314,0,5.4
315,0,5.6
316,0,5.8
317,0,6
318,0,6.3
319,0,6.6
320,0,7.1
321,0,7.5
322,0,8.1
323,0,8.6
324,0,9.2
325,0,9.8
326,0,10.4
327,0,10.8
328,0,11.5
329,0,11.9
330,0,12.4
331,0,12.9
332,0,13.4
333,0,13.8
334,0,14.4
335,0,15.1
336,0,15.9
337,0,16.9
338,0,17.8
339,0,19.1
340,0,20
341,0,21.3
342,0,22
343,0,22.7
344,0,22.8
345,0,22.5
346,0,21.7
347,0,20.7
348,0,19.4
349,0,18.1
350,0,17
351,0,15.8
352,0,15
353,0,14.1
354,0,13.6
355,0,13.2
356,0,12.9
357,0,12.6
358,0,12.5
359,0,12.4
360,0,12.3
361,0,12.3
362,0,12.2
363,0,12.2
364,0,12.1
365,0,12
366,0,12
367,0,11.9
368,0,11.8
369,0,11.6
370,0,11.5
371,0,11.4
372,0,11.2
373,0,11.1
374,0,10.9
375,0,10.5
376,0,10.3
377,0,10
378,0,9.8
379,0,9.4
380,0,9
381,0,8.7
382,0,8.2
383,0,7.9
384,0,7.6
385,0,7.1
386,0,6.7
387,0,6.4
388,0,6
389,0,5.7
390,0,5.5
391,0,5.2
392,0,5
393,0,4.6
394,0,4.5
395,0,4.2
396,0,4
397,0,3.9
398,0,3.6
399,0,3.3
400,0,3.1
401,0,2.9
402,0,2.7
403,0,2.5
404,0,2.2
405,0,2
406,0,1.7
407,0,1.6
408,0,1.3
409,0,1.2
410,0,1
411,0,0.9
412,0,0.7
413,0,0.7
414,0,0.6
415,0,0.5
416,0,0.4
417,0,0.4
418,0,0.4
419,0,0.3
420,0,0.3
421,0,0.3
422,0,0.3
423,0,0.3
424,0,0.3
425,0,0.3
426,0,0.3
427,0,0.3
428,0,0.3
429,0,0.3
430,0,0.4
431,0,0.4
432,0,0.4
433,0,0.4
434,0,0.5
435,0,0.5
436,0,0.5
437,0,0.5
438,0,0.6
439,0,0.6
440,0,0.6
441,0,0.7
442,0,0.7
443,0,0.8
444,0,0.8
445,0,0.9
446,0,0.9
447,0,1
448,0,1
449,0,1.1
450,0.1,1.2
451,0.1,1.2
452,0.2,1.3
453,0.2,1.4
454,0.2,1.5
455,0.3,1.6
456,0.3,1.6
457,0.4,1.7
458,0.4,1.8
459,0.5,2
460,0.6,2.1
461,0.9,2.2
